Time (s) Florinda 0.02 1.5	Light Intensity (% of scale max) Florinda 0.02 1.5	Position (m) Florinda 0.02 1.5	Time (s) Arianna 0.02 1.5	Light Intensity (% of scale max) Arianna 0.02 1.5	Position (m) Arianna 0.02 1.5	Time (s) Antonio 0.02 1.5	Light Intensity (% of scale max) Antonio 0.02 1.5	Position (m) Antonio 0.02 1.5	Time (s) Florinda 0.04 1.5	Light Intensity (% of scale max) Florinda 0.04 1.5	Position (m) Florinda 0.04 1.5	Time (s) Matteo 0.04 1.5	Light Intensity (% of scale max) Matteo 0.04 1.5	Position (m) Matteo 0.04 1.5	Time (s) Antonio 0.04 1.5	Light Intensity (% of scale max) Antonio 0.04 1.5	Position (m) Antonio 0.04 1.5	Time (s) Arianna 0.08 1.5	Light Intensity (% of scale max) Arianna 0.08 1.5	Position (m) Arianna 0.08 1.5	Time (s) Florinda 0.08 1.5	Light Intensity (% of scale max) Florinda 0.08 1.5	Position (m) Florinda 0.08 1.5	Time (s) Matteo 0.08 1.5	Light Intensity (% of scale max) Matteo 0.08 1.5	Position (m) Matteo 0.08 1.5	Time (s) Florinda 0.02 1.0 candela	Light Intensity (% of scale max) Florinda 0.02 1.0 candela	Position (m) Florinda 0.02 1.0 candela	Time (s) Antonio 0.04 1.0 candela	Light Intensity (% of scale max) Antonio 0.04 1.0 candela	Position (m) Antonio 0.04 1.0 candela	Time (s) Matteo 0.04 1.0	Light Intensity (% of scale max) Matteo 0.04 1.0	Position (m) Matteo 0.04 1.0	Time (s) Arianna 0.08 1.0	Light Intensity (% of scale max) Arianna 0.08 1.0	Position (m) Arianna 0.08 1.0	Time (s) Antonio 0.08 0.5	Light Intensity (% of scale max) Antonio 0.08 0.5	Position (m) Antonio 0.08 0.5	Time (s) Florinda 0.04 0.5	Light Intensity (% of scale max) Florinda 0.04 0.5	Position (m) Florinda 0.04 0.5	Time (s) Laser rumore costante sole	Light Intensity (% of scale max) Laser rumore costante sole	Position (m) Laser rumore costante sole	Time (s) Corrente di buio t candela	Light Intensity (% of scale max) Corrente di buio t candela	Position (m) Corrente di buio t candela	Time (s) Corrente di buio t lampadina	Light Intensity (% of scale max) Corrente di buio t lampadina	Position (m) Corrente di buio t lampadina	Time (s) Rumore t lampadina	Light Intensity (% of scale max) Rumore t lampadina	Position (m) Rumore t lampadina	Time (s) Rumore t candela	Light Intensity (% of scale max) Rumore t candela	Position (m) Rumore t candela	Time (s) Rumore s lampadina	Light Intensity (% of scale max) Rumore s lampadina	Position (m) Rumore s lampadina	Time (s) Antonio 2 0.02 1.5	Light Intensity (% of scale max) Antonio 2 0.02 1.5	Position (m) Antonio 2 0.02 1.5
0,000	0,02945	0,0000	0,000	0,03149	0,0000	0,000	0,04462	0,0000	0,000	0,04413	0,0000	0,000	0,03896	0,0000	0,000	0,04970	0,0000	0,000	0,04012	0,0000	0,000	0,05334	1,5000E-4	0,000	0,04137	0,0000	0,000	1,12779	0,0000	0,000	1,04688	0,0000	0,000	0,03473	0,0000	0,000	0,04356	0,0000	0,000	0,02603	0,0000	0,000	0,02997	0,0000	0,000	32,69162	0,0000	0,000	1,72369	0,0000	0,000	0,03712	0,0000	0,000	0,06636	0,0000	0,000	4,69226	0,0000	0,000	0,09128	0,0000	0,000	0,04868	0,0000
0,050	0,02969	0,0000	0,050	0,03152	0,0000	0,050	0,04453	0,0000	0,050	0,04378	0,0000	0,050	0,03912	0,0000	0,050	0,04964	0,0000	0,050	0,04015	0,0000	0,050	0,05293	1,5000E-4	0,050	0,04170	0,0000	0,050	1,08249	0,0000	0,050	1,22055	0,0000	0,050	0,03441	0,0000	0,050	0,04379	0,0000	0,050	0,02632	0,0000	0,050	0,03000	0,0000	0,050	32,68280	0,0000	0,050	1,71872	0,0000	0,050	0,03711	0,0000	0,050	0,07184	0,0000	0,050	4,68883	0,0000	0,050	0,09134	0,0000	0,050	0,04869	0,0000
0,100	0,02977	0,0000	0,100	0,03136	0,0000	0,100	0,04440	0,0000	0,100	0,04399	0,0000	0,100	0,03879	0,0000	0,100	0,04956	0,0000	0,100	0,04019	0,0000	0,100	0,05287	1,3125E-4	0,100	0,04202	0,0000	0,100	1,05328	0,0000	0,100	1,05502	0,0000	0,100	0,03491	0,0000	0,100	0,04408	0,0000	0,100	0,02670	0,0000	0,100	0,03012	0,0000	0,100	32,62999	0,0000	0,100	1,71330	0,0000	0,100	0,03729	0,0000	0,100	0,07463	0,0000	0,100	4,68599	0,0000	0,100	0,09131	0,0000	0,100	0,04880	0,0000
0,150	0,02969	0,0000	0,150	0,03154	2,8125E-5	0,150	0,04439	0,0000	0,150	0,04395	0,0000	0,150	0,03860	0,0000	0,150	0,04935	0,0000	0,150	0,04024	0,0000	0,150	0,05299	1,1250E-4	0,150	0,04225	0,0000	0,150	1,01210	0,0000	0,150	1,06575	0,0000	0,150	0,03487	0,0000	0,150	0,04422	0,0000	0,150	0,02679	0,0000	0,150	0,02989	0,0000	0,150	32,69481	0,0000	0,150	1,66347	0,0000	0,150	0,03694	0,0000	0,150	0,07741	0,0000	0,150	4,72223	0,0000	0,150	0,09135	0,0000	0,150	0,04886	0,0000
0,200	0,02974	0,0000	0,200	0,03172	3,7500E-5	0,200	0,04453	0,0000	0,200	0,04401	0,0000	0,200	0,03853	0,0000	0,200	0,04982	0,0000	0,200	0,04027	0,0000	0,200	0,05295	1,1250E-4	0,200	0,04207	0,0000	0,200	0,95872	0,0000	0,200	1,23524	0,0000	0,200	0,03482	0,0000	0,200	0,04388	0,0000	0,200	0,02698	0,0000	0,200	0,02950	0,0000	0,200	32,65704	0,0000	0,200	1,63519	0,0000	0,200	0,03732	0,0000	0,200	0,07970	0,0000	0,200	4,73784	0,0000	0,200	0,09134	0,0000	0,200	0,04890	0,0000
0,250	0,02960	0,0000	0,250	0,03172	3,7500E-5	0,250	0,04427	0,0000	0,250	0,04393	0,0000	0,250	0,03824	0,0000	0,250	0,04961	0,0000	0,250	0,04018	0,0000	0,250	0,05325	1,1250E-4	0,250	0,04236	0,0000	0,250	0,93518	0,0000	0,250	0,89796	0,0000	0,250	0,03539	0,0000	0,250	0,04434	0,0000	0,250	0,02699	-1,4063E-4	0,250	0,02957	0,0000	0,250	32,66005	0,0000	0,250	1,60902	0,0000	0,250	0,03712	0,0000	0,250	0,08292	0,0000	0,250	4,71077	0,0000	0,250	0,09142	0,0000	0,250	0,04889	0,0000
0,300	0,03001	0,0000	0,300	0,03157	3,7500E-5	0,300	0,04433	0,0000	0,300	0,04428	0,0000	0,300	0,03819	0,0000	0,300	0,04953	0,0000	0,300	0,04037	1,1250E-4	0,300	0,05327	1,1250E-4	0,300	0,04268	0,0000	0,300	0,90067	0,0000	0,300	1,11887	0,0000	0,300	0,03539	0,0000	0,300	0,04398	0,0000	0,300	0,02740	-3,7500E-4	0,300	0,02924	0,0000	0,300	32,66853	0,0000	0,300	1,65321	0,0000	0,300	0,03728	0,0000	0,300	0,08401	0,0000	0,300	4,69540	0,0000	0,300	0,09120	0,0000	0,300	0,04903	0,0000
0,350	0,02988	0,0000	0,350	0,03172	3,7500E-5	0,350	0,04417	0,0000	0,350	0,04417	0,0000	0,350	0,03784	0,0000	0,350	0,04951	0,0000	0,350	0,04071	3,0938E-4	0,350	0,05315	1,1250E-4	0,350	0,04272	-2,8125E-5	0,350	0,81146	0,0000	0,350	1,01393	0,0000	0,350	0,03534	0,0000	0,350	0,04425	0,0000	0,350	0,02718	-4,4062E-4	0,350	0,02884	0,0000	0,350	32,64265	0,0000	0,350	1,64821	0,0000	0,350	0,03740	0,0000	0,350	0,08478	0,0000	0,350	4,71095	0,0000	0,350	0,09132	0,0000	0,350	0,04903	0,0000
0,400	0,02985	0,0000	0,400	0,03171	3,7500E-5	0,400	0,04388	0,0000	0,400	0,04402	0,0000	0,400	0,03786	0,0000	0,400	0,04944	0,0000	0,400	0,04091	4,1250E-4	0,400	0,05330	7,5000E-5	0,400	0,04274	-3,7500E-5	0,400	0,78490	0,0000	0,400	0,89931	0,0000	0,400	0,03523	0,0000	0,400	0,04405	0,0000	0,400	0,02733	-5,2500E-4	0,400	0,02844	0,0000	0,400	32,64789	0,0000	0,400	1,64267	0,0000	0,400	0,03751	0,0000	0,400	0,08569	0,0000	0,400	4,73347	0,0000	0,400	0,09128	0,0000	0,400	0,04892	0,0000
0,450	0,02980	0,0000	0,450	0,03157	3,7500E-5	0,450	0,04401	0,0000	0,450	0,04439	0,0000	0,450	0,03734	0,0000	0,450	0,04935	0,0000	0,450	0,04083	4,1250E-4	0,450	0,05356	7,5000E-5	0,450	0,04256	-3,7500E-5	0,450	0,76666	0,0000	0,450	1,15944	0,0000	0,450	0,03552	0,0000	0,450	0,04402	0,0000	0,450	0,02766	-7,0313E-4	0,450	0,02855	0,0000	0,450	32,64984	0,0000	0,450	1,65678	0,0000	0,450	0,03719	0,0000	0,450	0,08681	0,0000	0,450	4,71173	0,0000	0,450	0,09151	0,0000	0,450	0,04872	0,0000
